,b,delta,H,MAPE
151,-9.9,1111,"[-113287.80000000002, -319030.0, -462595.50000000006, -587385.5, -907986.0]",0.45120780586480735
152,-9.9,1112,"[-119112.80000000002, -328607.0, -473717.50000000006, -600262.5, -923263.0]",0.44625658926180806
153,-9.9,1113,"[-124871.80000000002, -338062.0, -484687.50000000006, -612957.5, -938298.0]",0.44156220906929056
154,-9.9,1114,"[-130564.80000000002, -347395.0, -495505.50000000006, -625470.5, -953091.0]",0.4371041714765691
155,-9.9,1115,"[-136191.80000000002, -356606.0, -506171.50000000006, -637801.5, -967642.0]",0.4328640836045653
156,-9.9,1116,"[-141752.80000000002, -365695.0, -516685.50000000006, -649950.5, -981951.0]",0.4288253903902163
157,-9.9,1117,"[-147247.80000000002, -374662.0, -527047.5, -661917.5, -996018.0]",0.4249731500264805
158,-9.9,1118,"[-152676.80000000002, -383507.0, -537257.5, -673702.5, -1009843.0]",0.42129384152292637
159,-9.9,1119,"[-158039.80000000002, -392230.0, -547315.4999999999, -685305.5, -1023426.0]",0.417775199150716
160,-9.9,1120,"[-163336.80000000002, -400831.0, -557221.4999999999, -696726.5, -1036767.0]",0.4144060694890873
161,-9.9,1121,"[-168567.80000000002, -409310.0, -566975.4999999999, -707965.5, -1049866.0]",0.4111762875528201
162,-9.9,1122,"[-173732.80000000002, -417667.0, -576577.4999999999, -719022.5, -1062723.0]",0.40807656909320433
163,-9.9,1123,"[-178831.80000000002, -425902.0, -586027.4999999999, -729897.5, -1075338.0]",0.4050984166605252
164,-9.9,1124,"[-183864.80000000002, -434015.0, -595325.4999999999, -740590.5, -1087711.0]",0.40223403741855857
165,-9.9,1125,"[-188831.80000000002, -442006.0, -604471.4999999999, -751101.5, -1099842.0]",0.3994762710300336
166,-9.9,1126,"[-193732.80000000002, -449875.0, -613465.4999999999, -761430.5, -1111731.0]",0.3968185262012933
167,-9.9,1127,"[-198567.80000000002, -457622.0, -622307.4999999999, -771577.5, -1123378.0]",0.3942547246960787
168,-9.9,1128,"[-203336.80000000002, -465247.0, -630997.4999999999, -781542.5, -1134783.0]",0.3917792518116508
169,-9.9,1129,"[-208039.80000000002, -472750.0, -639535.4999999999, -791325.5, -1145946.0]",0.38938691246258594
170,-9.9,1130,"[-212676.80000000002, -480131.0, -647921.4999999999, -800926.5, -1156867.0]",0.387072892144326
171,-9.9,1131,"[-217247.80000000002, -487390.0, -656155.4999999999, -810345.5, -1167546.0]",0.3848327221545443
172,-9.9,1132,"[-221752.80000000002, -494527.0, -664237.4999999999, -819582.5, -1177983.0]",0.38266224853931946
173,-9.9,1133,"[-226191.80000000002, -501542.0, -672167.4999999999, -828637.5, -1188178.0]",0.38055760430598173
174,-9.9,1134,"[-230564.80000000002, -508435.0, -679945.4999999999, -837510.5, -1198131.0]",0.37851518450773913
175,-9.9,1135,"[-234871.80000000002, -515206.0, -687571.4999999999, -846201.5, -1207842.0]",0.37653162385877703
176,-9.9,1136,"[-239112.80000000005, -521855.0, -695045.4999999999, -854710.5, -1217311.0]",0.3746037765840632
177,-9.9,1137,"[-243287.80000000005, -528382.0, -702367.4999999999, -863037.5, -1226538.0]",0.37272869824690275
178,-9.9,1138,"[-247396.80000000005, -534787.0, -709537.4999999999, -871182.5, -1235523.0]",0.37090362933046184
179,-9.9,1139,"[-251439.80000000005, -541070.0, -716555.4999999999, -879145.5, -1244266.0]",0.36912598037790634
