,b,delta,H,MAPE
209,-9.9,1169,"[39872.49999999999, 33129.1, 23140.1, 19746.6, 6319.099999999999]",0.39471652289468556
210,-9.9,1170,"[38202.2, 31232.0, 21586.5, 18326.5, 6275.999999999999]",0.40104269731334197
211,-9.9,1171,"[36597.9, 29456.9, 20184.9, 17088.399999999998, 6474.9]",0.40315109787528575
212,-9.9,1172,"[35059.600000000006, 27803.8, 18935.3, 16032.3, 6915.8]",0.40029251490260326
213,-9.9,1173,"[33587.299999999996, 26272.7, 17837.7, 15158.2, 7598.7]",0.39178215830833024
214,-9.9,1174,"[32180.999999999993, 24863.6, 16892.1, 14466.1, 8523.6]",0.37707043695009823
215,-9.9,1175,"[30840.699999999997, 23576.5, 16098.499999999998, 13955.999999999998, 9690.5]",0.3558183644817135
216,-9.9,1176,"[29566.4, 22411.399999999998, 15456.9, 13627.899999999998, 11099.4]",0.3279659729606563
217,-9.9,1177,"[28358.100000000002, 21368.299999999996, 14967.300000000001, 13481.8, 12750.3]",0.2937797632795092
218,-9.9,1178,"[27215.8, 20447.2, 14629.7, 13517.7, 14643.2]",0.2538662916677722
219,-9.9,1179,"[26139.5, 19648.1, 14444.1, 13735.6, 16778.1]",0.20914426516385404
220,-9.9,1180,"[25129.199999999997, 18971.000000000004, 14410.499999999996, 14135.5, 19155.0]",0.17809091820150508
221,-9.9,1181,"[24184.9, 18415.900000000005, 14528.9, 14717.4, 21773.9]",0.1818053641811132
222,-9.9,1182,"[23306.6, 17982.8, 14799.3, 15481.3, 24634.8]",0.1966529736562001
223,-9.9,1183,"[22494.3, 17671.7, 15221.7, 16427.2, 27737.7]",0.20915495928785383
224,-9.9,1184,"[21748.0, 17482.6, 15796.1, 17555.1, 31082.6]",0.21926215750054986
225,-9.9,1185,"[21067.699999999997, 17415.5, 16522.5, 18865.000000000004, 34669.5]",0.23883243259179548
226,-9.9,1186,"[20453.4, 17470.400000000005, 17400.9, 20356.9, 38498.4]",0.27434576983709924
227,-9.9,1187,"[19905.1, 17647.3, 18431.299999999996, 22030.800000000003, 42569.3]",0.30605338362201234
228,-9.9,1188,"[19422.8, 17946.2, 19613.7, 23886.699999999997, 46882.2]",0.3339587136286356
229,-9.9,1189,"[19006.5, 18367.100000000002, 20948.100000000006, 25924.6, 51437.1]",0.3581929698106032
230,-9.9,1190,"[18656.2, 18910.000000000004, 22434.5, 28144.5, 56234.0]",0.3789764730653723
231,-9.9,1191,"[18371.9, 19574.9, 24072.9, 30546.4, 61272.9]",0.3965847411904654
232,-9.9,1192,"[18153.6, 20361.8, 25863.299999999996, 33130.299999999996, 66553.8]",0.41519442554924096
233,-9.9,1193,"[18001.3, 21270.7, 27805.7, 35896.2, 72076.7]",0.4336193077887193
234,-9.9,1194,"[17915.0, 22301.600000000002, 29900.1, 38844.1, 77841.6]",0.4492955122632257
235,-9.9,1195,"[17894.7, 23454.5, 32146.500000000004, 41974.0, 83848.5]",0.46252896122882897
236,-9.9,1196,"[17940.4, 24729.4, 34544.9, 45285.9, 90097.4]",0.4736084064760721
237,-9.9,1197,"[18052.1, 26126.3, 37095.299999999996, 48779.8, 96588.3]",0.48280043663613686
238,-9.9,1198,"[18229.8, 27645.2, 39797.7, 52455.7, 103321.2]",0.49034713662809953
239,-9.9,1199,"[18473.499999999996, 29286.100000000002, 42652.1, 56313.6, 110296.1]",0.4964655861340729
240,-9.9,1200,"[18783.199999999997, 31049.0, 45658.50000000001, 60353.5, 117513.0]",0.5013485651740652
241,-9.9,1201,"[19158.9, 32933.9, 48816.9, 64575.400000000016, 124971.9]",0.5051659970322631
242,-9.9,1202,"[19600.600000000002, 34940.8, 52127.299999999996, 68979.29999999999, 132672.8]",0.5080667927690898
243,-9.9,1203,"[20108.3, 37069.7, 55589.7, 73565.20000000001, 140615.7]",0.5101808663502461
244,-9.9,1204,"[20682.0, 39320.600000000006, 59204.1, 78333.1, 148800.6]",0.5116211680762626
245,-9.9,1205,"[21321.699999999997, 41693.5, 62970.50000000001, 83282.99999999999, 157227.5]",0.5124856410516669
246,-9.9,1206,"[22027.4, 44188.399999999994, 66888.9, 88414.9, 165896.4]",0.5128590455737502
247,-9.9,1207,"[22799.100000000002, 46805.3, 70959.30000000002, 93728.79999999999, 174807.3]",0.5128146237177333
248,-9.9,1208,"[23636.8, 49544.2, 75181.7, 99224.70000000001, 183960.2]",0.5124155944790332
249,-9.9,1209,"[24540.5, 52405.100000000006, 79556.09999999999, 104902.6, 193355.1]",0.511716481286588
250,-9.9,1210,"[25510.199999999997, 55388.0, 84082.5, 110762.49999999999, 202992.0]",0.5107642805459051
251,-9.9,1211,"[26545.9, 58492.9, 88760.9, 116804.4, 212870.9]",0.5095994835890562
