,b,delta,H,MAPE
213,-18.5,1133,"[-566683.0, -1125816.0, -1446468.5, -1753868.5, -2410496.0]",0.340401257946373
214,-18.5,1134,"[-571056.0, -1132709.0, -1454246.5, -1762741.5, -2420449.0]",0.33964729481629846
215,-18.5,1135,"[-575363.0, -1139480.0, -1461872.5, -1771432.5, -2430160.0]",0.33890406852085875
216,-18.5,1136,"[-579604.0, -1146129.0, -1469346.5, -1779941.5, -2439629.0]",0.33817118812081487
217,-18.5,1137,"[-583779.0, -1152656.0, -1476668.5, -1788268.5, -2448856.0]",0.3374482767507249
218,-18.5,1138,"[-587888.0, -1159061.0, -1483838.5, -1796413.5, -2457841.0]",0.3367349708926149
219,-18.5,1139,"[-591931.0, -1165344.0, -1490856.5, -1804376.5, -2466584.0]",0.336030919690835
220,-18.5,1140,"[-595908.0, -1171505.0, -1497722.5, -1812157.5, -2475085.0]",0.33533578430528765
221,-18.5,1141,"[-599819.0, -1177544.0, -1504436.5, -1819756.5, -2483344.0]",0.33464923730042584
222,-18.5,1142,"[-603664.0, -1183461.0, -1510998.5, -1827173.5, -2491361.0]",0.3339709620676155
223,-18.5,1143,"[-607443.0, -1189256.0, -1517408.5, -1834408.5, -2499136.0]",0.33330065227863404
224,-18.5,1144,"[-611156.0, -1194929.0, -1523666.5, -1841461.5, -2506669.0]",0.3326380113682393
225,-18.5,1145,"[-614803.0, -1200480.0, -1529772.5, -1848332.5, -2513960.0]",0.3319827520438937
226,-18.5,1146,"[-618384.0, -1205909.0, -1535726.5, -1855021.5, -2521009.0]",0.33133459582086466
227,-18.5,1147,"[-621899.0, -1211216.0, -1541528.5, -1861528.5, -2527816.0]",0.3306932725810498
228,-18.5,1148,"[-625348.0, -1216401.0, -1547178.5, -1867853.5, -2534381.0]",0.33005852015398984
229,-18.5,1149,"[-628731.0, -1221464.0, -1552676.5, -1873996.5, -2540704.0]",0.3294300839186387
230,-18.5,1150,"[-632048.0, -1226405.0, -1558022.5, -1879957.5, -2546785.0]",0.3288077164245594
231,-18.5,1151,"[-635299.0, -1231224.0, -1563216.5, -1885736.5, -2552624.0]",0.3281911770313036
232,-18.5,1152,"[-638484.0, -1235921.0, -1568258.5, -1891333.5, -2558221.0]",0.32758023156481486
233,-18.5,1153,"[-641603.0, -1240496.0, -1573148.5, -1896748.5, -2563576.0]",0.32697465198977416
234,-18.5,1154,"[-644656.0, -1244949.0, -1577886.5, -1901981.5, -2568689.0]",0.32637421609687484
235,-18.5,1155,"[-647643.0, -1249280.0, -1582472.5, -1907032.5, -2573560.0]",0.3257787072040812
236,-18.5,1156,"[-650564.0, -1253489.0, -1586906.5, -1911901.5, -2578189.0]",0.32518791387098184
237,-18.5,1157,"[-653419.0, -1257576.0, -1591188.5, -1916588.5, -2582576.0]",0.3246016296254081
238,-18.5,1158,"[-656208.0, -1261541.0, -1595318.5, -1921093.5, -2586721.0]",0.3240196527015358
239,-18.5,1159,"[-658931.0, -1265384.0, -1599296.5, -1925416.5, -2590624.0]",0.3234417857887381
240,-18.5,1160,"[-661588.0, -1269105.0, -1603122.5, -1929557.5, -2594285.0]",0.32286783579049894
241,-18.5,1161,"[-664179.0, -1272704.0, -1606796.5, -1933516.5, -2597704.0]",0.32229761359273795
242,-18.5,1162,"[-666704.0, -1276181.0, -1610318.5, -1937293.5, -2600881.0]",0.3217309338409353
243,-18.5,1163,"[-669163.0, -1279536.0, -1613688.5, -1940888.5, -2603816.0]",0.32116761472547745
244,-18.5,1164,"[-671556.0, -1282769.0, -1616906.5, -1944301.5, -2606509.0]",0.32060747777467785
245,-18.5,1165,"[-673883.0, -1285880.0, -1619972.5, -1947532.5, -2608960.0]",0.32005034765495755
246,-18.5,1166,"[-676144.0, -1288869.0, -1622886.5, -1950581.5, -2611169.0]",0.31949605197769226
247,-18.5,1167,"[-678339.0, -1291736.0, -1625648.5, -1953448.5, -2613136.0]",0.3189444211122638
248,-18.5,1168,"[-680468.0, -1294481.0, -1628258.5, -1956133.5, -2614861.0]",0.3183952880048719
